case	operation	input	expected
stationary	kinematics_1d	p0=5,v0=0,a=0,t=10	p=5,v=0
constant_velocity	kinematics_1d	p0=1,v0=3,a=0,t=4	p=13,v=3
constant_acceleration	kinematics_1d	p0=0,v0=2,a=4,t=3	p=24,v=14
negative_time	kinematics_1d	p0=0,v0=1,a=0,t=-1	InvalidTime
tick_overflow	utc_map	origin_seconds=9223372036854775807,ticks=1,ns_per_tick=1000000000	InvalidTime
profile_mismatch	resume	checkpoint=fixed-v0,run=fixed-v1	IncompatibleProfile
head_on_elastic	contact_1d	m1=1,v1=1,m2=1,v2=-1,e=1	v1=-1,v2=1
head_on_inelastic	contact_1d	m1=1,v1=1,m2=1,v2=-1,e=0	v1=0,v2=0
coincident_centres	normal	id1=01,id2=02	positive_x
stable_pair_order	order	pairs=03-01|02-01|03-02	01-02|01-03|02-03
tunnelling_refusal	admit	displacement_over_radius_quarter,substeps=17	UnsupportedModel
pair_budget	admit	pairs=5000001	ResourceLimit
atomic_tick	crash	certificate_absent	no_body_results
