case	operation	condition	expected
wrong_key	decrypt	key_mismatch	IntegrityFailure
wrong_context	decrypt	namespace_mismatch	IntegrityFailure
truncated_tag	decrypt	missing_tag_byte	IntegrityFailure
entropy_failure	encrypt	getrandom_error	RetryableUnavailable
duplicate_nonce	encrypt	deterministic_test_rng_repeat	IntegrityFailure
writable_clone	open	shared_clone_lease	Conflict
key_loss	unlock	no_valid_wrapper	KeyUnavailable
active_hold	purge	unexpired_hold	PurgeBlocked
reader_pin	purge	pin_under_24h	access_revoked_reclamation_pending
expired_pin	purge	pin_over_24h	terminate_and_reclaim
shared_blob	purge	other_authorized_reference	logical_reference_removed_bytes_retained
stale_backup	restore	backup_epoch_below_current	StaleDeletionEpoch
no_ledger	restore	current_epoch_unavailable	quarantined
