case	operation	input	expected
longitude_wrap	canonical_lon_deg	180	-180
antimeridian_inside	geo_box	west=170,east=-170,point=-175	inside
antimeridian_outside	geo_box	west=170,east=-170,point=0	outside
closed_boundary	local_box	min=0,max=10,point=10	inside
zero_width_geo_box	geo_box	west=10,east=10,point=10	inside
zero_width_not_world	geo_box	west=10,east=10,point=11	outside
north_pole_lon	canonical_point	lat=90,lon=42	lat=90,lon=0
equator_degree	authalic_distance_m	0,0;1,0	111195.052
radius_boundary	radius	computed=10.001,requested=10,tolerance=0.002	inside
radius_outside	radius	computed=10.003,requested=10,tolerance=0.002	outside
frame_cycle	add_transform	A->B,B->A	FrameMismatch
frame_depth	resolve_transform	33_edges	ResourceLimit
nearest_tie	nearest	distance_equal,ids=02|01	01|02
route_tie	dijkstra	A-B-D,A-C-D,cost=2	lexicographically_smallest_full_path
route_hidden	dijkstra	short_edge_unauthorized	ignore_before_expansion
route_budget	dijkstra	visits=1000001	ResourceLimit
