case	boundary	durable_certificate	expected
blob_partial	before_blob_flush	no	previous_frontier
orphan_blob	after_blob_flush_before_group	no	previous_frontier
group_partial	during_group_append	no	previous_frontier_quarantine_tail
group_only	after_group_flush_before_certificate	no	previous_frontier
certificate_partial	during_certificate_append	no	previous_frontier_quarantine_tail
lost_response	after_certificate_flush_before_response	yes	new_frontier
missing_committed_blob	after_complete_certificate	yes	IntegrityFailure
corrupt_committed_group	after_complete_certificate	yes	IntegrityFailure
missing_index	after_complete_certificate	yes	new_frontier_rebuild_index
non_tail_corruption	recovery_scan	yes	IntegrityFailure
