case	operation	input	expected
epoch	decode_pair	0,0	1970-01-01T00:00:00Z
negative_half	decode_pair	-1,500000000	1969-12-31T23:59:59.5Z
equivalent_a	normalize	2026-09-16T09:00:00-05:00	2026-09-16T14:00:00Z
equivalent_b	normalize	2026-09-16T14:00:00Z	2026-09-16T14:00:00Z
fraction_trim	normalize	2026-09-16T14:00:00.120000000Z	2026-09-16T14:00:00.12Z
leap_second	normalize	2016-12-31T23:59:60Z	UnsupportedTimeScale
naive	normalize	2026-09-16T09:00:00	AmbiguousTime
numeric_no_unit	normalize	1789567200	InvalidTime
fold_without_choice	normalize	2026-11-01T01:30:00[America/Chicago]	AmbiguousTime
gap	normalize	2026-03-08T02:30:00[America/Chicago]	InvalidTime
unknown	interval	unknown	Unknown
unbounded	interval	[-inf,2026-09-17T00:00:00Z)	Valid
