case	input_or_fault	expected
unknown_binary	arbitrary_zero_and_non_utf8_bytes	exact_original_byte_round_trip
zero_byte	empty_input	zero_chunks_and_sha256_empty
terminal_markers	finalized_or_aborted_then_restart	immutable_final_or_rejected_abort_token
streaming	irregular_writes_over_two_chunks	one_mib_bounded_chunks_and_exact_digest
visibility	finalized_before_inventory_commit	read_denied
commit	authenticated_blob_and_inventory	durable_certificate_binds_inventory_digest
resume	one_durable_chunk_then_process_restart	resume_at_durable_offset_and_exact_finish
abort	unsealed_durable_staging_chunk	removed_and_live_or_resumed_token_rejected
missing_committed	remove_chunk_named_by_complete_certificate	IntegrityFailure_without_rollback
retry	same_request_and_inventory	original_outcome_without_new_revision
changed_retry	same_request_and_key_with_different_inventory	Conflict
chunk_faults	error_no_space_crash_before_or_after_each_publication_step	exact_durable_offset_or_explicit_recovery
short_progress	short_or_zero_chunk_write	exact_retry_or_resumable_no_duplicate_input
canonical_corruption	acknowledged_staging_mutated_or_replaced	IntegrityFailure_without_discard
finish_faults	partial_chunk_rename_sync_and_marker_boundaries	exact_final_reference_after_resume
abort_faults	marker_publication_and_cleanup_boundaries	durable_terminal_intent_or_exact_resumability
abort_cleanup	cleanup_error_after_durable_marker	terminal_handle_and_idempotent_cleanup_retry
inventory_faults	inventory_and_commit_publication_boundaries	no_dangling_committed_reference
inventory_resync	existing_inventory_after_ambiguous_sync	resynchronized_before_new_certificate
malformed_authenticated	noncanonical_UBMF_UBPG_or_UBIN	IntegrityFailure_before_replay_or_resume
committed_corruption	mutation_truncation_or_append	IntegrityFailure_before_replay
context_replay	valid_chunk_ciphertext_under_other_blob_context	IntegrityFailure
upload_cap	thirty_two_live_handles_per_database	exact_cap_survives_store_reopen_and_terminal_release
progress_witness	missing_first_middle_or_last_acknowledged_chunk	IntegrityFailure_without_shortening
terminal_witness	one_missing_final_or_abort_copy	repair_without_token_resurrection
terminal_exclusion	duplicate_handles_finish_then_abort_or_abort_then_finish	exactly_one_durable_terminal_state
foreign_handle	different_database_epoch_or_writer	InvalidState_before_io
dedup_isolation	equal_bytes_across_uploads_and_namespaces	distinct_blob_identity_and_storage_context
profile_limits	exact_and_plus_one_unique_binding_namespace_caps	exact_admitted_plus_one_ResourceLimit
large_stream	twelve_gib_encrypted_commit_reopen_and_hash	267636_kib_peak_rss_exact_sha256_BM04_throughput_unmet
