profile	field	value
bm06-materialization-v1	seed	8f41d0a52b40f13f4a77bc3beae2026a8bc42ad48d12ce53d92e29f612111006
bm06-materialization-v1	records	100000
bm06-materialization-v1	events	10000000
bm06-materialization-v1	versions_per_record	100
bm06-materialization-v1	payload_bytes_per_event	4096
bm06-materialization-v1	history_payload_bytes	40960000000
bm06-materialization-v1	batch_records	512
bm06-materialization-v1	frontier_revision	19601
bm06-materialization-v1	checkpoint_revision	19405
bm06-materialization-v1	tail_revisions	196
bm06-materialization-v1	synthetic_stream_digest	c2d3b2fa0ce5d228213d03eb3fe4885fb11f41edcd6bc6935a8fb4b9702d5c3a
bm06-materialization-v1	development_2_records_synthetic_digest	b0cc0a82916763e1a764bd1e5611261de407487a5936677ce87cd9d0046ce0fe
bm06-materialization-v1	development_2_records_scope_06_canonical_request_digest	23f20f640042954cbf498ab4d63cc8e1eee0b2a184e0c0076ad838aab961daf9
bm06-materialization-v1	event_zero_payload_digest	b9585a3cdd160dd844fcda780638a9efa6e1d95d35c1da10b62fe0edc528297e
