case	logical_value	canonical_hex
null	null	555354450101000100
false	false	555354450101000101
true	true	555354450101000102
unsigned_zero	u:0	55535445010100020300
unsigned_300	u:300	555354450101000303ac02
unsigned_max	u:340282366920938463463374607431768211455	555354450101001403ffffffffffffffffffffffffffffffffffff03
signed_negative_one	i:-1	5553544501010003040101
signed_max	i:170141183460469231731687303715884105727	55535445010100150400ffffffffffffffffffffffffffffffffffff01
signed_min	i:-170141183460469231731687303715884105728	5553544501010015040180808080808080808080808080808080808002
bytes_empty	bytes:	55535445010100020500
bytes_00ff	bytes:00ff	5553544501010004050200ff
string_empty	str:	55535445010100020600
string_uste	str:USTE	5553544501010006060455535445
list_empty	list:	55535445010100020700
list_null_true	list:null,true	555354450101000407020002
map_empty	map:	55535445010100020800
map_a_null_b_true	map:a=null,b=true	55535445010100080802016100016202
epoch	instant:0,0	555354450101000409000000
negative_half_second	instant:-1,500000000	555354450101000809010180cab5ee01
minimum_instant	instant:-62135596800,0	5553544501010009090180eec7bce70100
maximum_instant	instant:253402300799,999999999	555354450101000d0900ff82d1ffaf07ff93ebdc03
zero_record_ref	ref:zero	55535445010100340a010000000000000000000000000000000002000000000000000000000000000000000300000000000000000000000000000000
full_record_ref	ref:full	55535445010100340a01000102030405060708090a0b0c0d0e0f02101112131415161718191a1b1c1d1e1f03202122232425262728292a2b2c2d2e2f
