case	field	input	expected
profile	sha256	coordinator-meta-v1	2f97f5f52387ec0646077064c31924ab17c1dd99e469573fec8bb155e8596136
metadata	key	family=1	coordinator-meta-v1
metadata	value_bytes	family=1	48
metadata	magic	offsets=0..4	UCMD
metadata	version	offsets=4..6	major=1,minor=0
metadata	reserved	offsets=6..8	0000
metadata	revision	offsets=8..16	u64be
metadata	counts	offsets=16..32	outcomes:u64be||owners:u64be
metadata	logical_bytes	offsets=32..48	outcomes:u64be||owners:u64be
outcome	key	family=2	principal[32]||idempotency_key[16]
outcome	value	family=2	transaction_id[16]||revision:u64be||request_digest[32]||result_digest[32]||expiry_seconds:i64be||expiry_nanos:u32be||zero[4]
outcome	key_value_bytes	family=2	48,104
owner	key	family=3	blob_id[16]
owner	value	family=3	major=1||minor=0||zero[2]||byte_len:u64be||chunk_count:u32be||content_digest[32]||principal[32]
owner	key_value_bytes	family=3	16,80
families	maximum_nonempty	coordinator-meta-v1	3
runs	per_nonempty_family	coordinator-meta-v1	1
pairing	identity	cross-profile	scope,revision,certificate_digest,reducer_profile,logical_state_digest
authority	commit	coordinator-meta-v1	journal-only
