case	field	input	expected
object_golden	sha256	master=11x32;nonce=55x24;database=04x16;namespace=02x16;role=blob;object=03x16;sequence=0102030405060708;writer=04x16;format=1.0;frame=4KiB;plaintext=USTE_crypto-v1_golden	3ae2282b8e08bc0564bd863c0b10675508f4cf643b3ce905c9b7d7cea8796c46
object_header	bytes	format=1.0	49
object_plaintext_cap	bytes	format=1.0	16777216
small_frame	bytes	tag=01	4096
blob_frame	bytes	tag=02	65536
nonce_session_cap	count	writer_vault	1048576
recovery_header	bytes	format=1.0	66
recovery_memory	KiB	argon2id-v1.3	262144
recovery_iterations	count	argon2id-v1.3	3
recovery_lanes	count	argon2id-v1.3	1
recovery_password_cap	bytes	portable_adapter	1024
