case	field	input	expected
profile	sha256	graph-state-v1	313f9c9be8a4206db1118af62ce2086178444c03dc22a0abbac7fb8714c66d52
metadata	key	family=1	graph-state-v1
metadata	value_bytes	family=1	80
metadata	magic	offsets=0..4	UGSM
metadata	version	offsets=4..6	major=1,minor=0
metadata	reserved	offsets=6..8	0000
metadata	revision	offsets=8..16	u64be
metadata	counts	current,history,outgoing,incoming,provenance,reverse,policy_history,current_policy	8xu64be
current	key	family=2	record_id[16]
history	key	family=3	record_id[16]||modified_revision:u64be
adjacency	key	families=4,5	entity_id[16]||relationship_id[16]
adjacency	value	families=4,5	neighbor_id[16]
provenance	key	family=6	evidence_id[16]||claim_id[16]
reverse	key	family=7	target_id[16]||owner_id[16]
reverse	value	family=7	kind:u8||state:u8||roles:u16be||version:u64be||modified_revision:u64be||zero[4]
reverse	kind_codes	entity,assertion,relationship	1,2,3
reverse	entity_state_codes	active,deleted	1,2
reverse	claim_state_codes	proposed,accepted,rejected,disputed,superseded,retracted,expired	1,2,3,4,5,6,7
reverse	role_bits	entity_property,assertion_subject,assertion_object,relationship_from,relationship_to,relationship_property,evidence,correction_of	0001,0002,0004,0008,0010,0020,0040,0080
policy	current_key	family=8	00
policy	history_key	family=8	01||revision:u64be
families	maximum_nonempty	graph-state-v1	8
runs	per_nonempty_family	graph-state-v1	1
authority	commit	graph-state-v1	journal-only
