case	field	input	expected
page_plaintext	sha256	revision=7;namespace=22x16;profile=44x32;family=2;object=55x16;page=0;entry=k:v	63644b344cb1d88f467deb8211c8cb623e94feff8ecf217941a3583c676274e6
page_plaintext	bytes	index-v1	16384
page_ciphertext	bytes	crypto-v1-small-frame	20545
root_plaintext	sha256	database=11x16;namespace=22x16;epoch=1;writer=33x16;revision=7;generation=3;certificate=66x32;reducer=77x32;logical=88x32;profile=44x32;root=99x16;family=2;run=55x16;entry=k:v	25ac0ae741cdf825bbe56f3f1fb7edcbec167919a5bd2c63ca0df6a3291c773e
root_plaintext	bytes	index-v1	2048
root_slots	count	index-v1	2
run_count_max	count	index-v1	16
key_max	bytes	index-v1	4096
value_max	bytes	index-v1	16777216
cache_default	bytes	index-v1	67108864
cache_max	bytes	index-v1	268435456
scan_results_max	count	index-v1	100000
scan_result_bytes_max	bytes	index-v1	67108864
