case	operation	fault	expected
interrupted_write	write_at	Interrupted	retry_without_offset_advance
short_write	write_at	maximum_2_then_3	complete_exact_bytes
short_read	read_at	Interrupted_then_maximum_2	complete_exact_bytes
over_report	read_at_write_at	progress_above_buffer	AdapterContract
zero_progress	write_at	Ok_0	ZeroProgress
disk_full	write_at	NoSpace	abort_without_retry
flush_failure	sync_data	Io	unsynchronized_bytes_lost_on_restart
directory_flush_failure	sync_directory	Io	unsynchronized_name_lost_on_restart
rename_crash_before	rename_no_replace	CrashBefore	old_name_and_bytes_after_restart
rename_crash	rename_no_replace	CrashAfter	old_name_after_restart_until_directory_sync
flush_crash	sync_data	CrashAfter	durable_bytes_after_restart
stale_handle	metadata	old_generation	StaleHandle
wall_rollback	clock	100_then_90	preserve_observations_without_commit_ordering
random_failure	random_fill	Io	output_not_authoritative
process_kill	host_test	SIGKILL_after_file_and_directory_sync	exact_bytes_reopen
