case	artifact	input_or_fault	expected
manifest_golden	UMAN_128	db=11x16;writer=22x16;epoch=1;log=33x16;segment=44x16	4d3b616f0351d702c8853a087ab7deae9d558b1aae19a849cf9a7b0b88cf90ab
certificate_header_golden	UCLG_64	db=11x16;log=33x16;writer=22x16	841a4ec5ececde9170da70e547a8c88d3df4c3af3223c3bfb627a7875e3d4efb
segment_header_golden	USEG_80	db=11x16;segment=44x16;writer=22x16;previous=00x16;first=1	5c1ad57f9d277db5bad0a0d53891457f43f5114a0b0f865100eb9be383e2c56d
certificate_golden	UCER_192	revision=1;previous=00x32;segment=44x16;sequence=1;offset=4161;length=4161;group=55x32;blob=sha256_empty;logical=66x32	f64efba83369d15027262e6361b5b9c2d520742e53427a1f6f693f4d416fcaa9
key_envelope_bound	KEY	encoded_length	1_through_65536
creation	layout	new_database	LOCK_KEY_MANIFEST_CERTIFICATES_initial_segment_synced_before_parent_ack
ownership	LOCK	second_writer	OwnershipConflict
exact_replay	journal_group	arbitrary_bytes_including_nul_ff	exact_bytes_in_revision_order
lost_response	certificate_sync	crash_after_success	new_frontier
failed_certificate_sync	certificate_sync	Io_before_success	previous_frontier_and_uncertified_group_removed
poisoned_writer	append	uncertain_write_or_sync	NeedsRecovery_until_reopen
certificate_tail	CERTIFICATES	less_than_4161_final_bytes	truncate_sync_and_previous_frontier
certificate_corruption	CERTIFICATES	complete_final_record_mutation	IntegrityFailure_not_rollback
group_corruption	journal_segment	certified_group_mutation	IntegrityFailure_not_rollback
blob_inventory	certificate	nonempty_inventory	durable_verified_inventory_before_replay
linux_symlink	openat2	symlink_or_wrong_type	fail_closed
linux_rename	renameat2	destination_exists	AlreadyExists_without_overwrite
linux_lock	flock	guard_drop_or_SIGKILL	released_only_with_unique_guard_or_process_exit
process_kill	Btrfs	SIGKILL_after_certificate_sync	exact_new_frontier
process_kill_uncertified	Btrfs	SIGKILL_after_group_sync_before_certificate	previous_frontier_and_tail_removed
process_lock	Btrfs	live_writer_then_SIGKILL	conflict_while_live_then_lock_released
bootstrap_corruption	KEY_MANIFEST_UCLG_USEG	every_encoded_byte_plus_missing_and_truncated	fail_closed
late_corruption	second_UCER_and_group	every_encoded_byte	zero_replay_callbacks_and_no_premature_repair
short_progress	journal_read_write	every_initial_position	exact_retry_without_semantic_change
creation_process_loss	Btrfs_and_verified_ext4	SIGKILL_after_temp_sync_or_parent_sync	absent_or_complete
