case	bytes	sha256
world	226	5b0b15982d50f6533ef421c07e9dc96f82c9c4c43cc9c01220abc2546ce8cb37
frame_root	247	e05e7d5a3b148458f79544dd8e6d3575ecf099f75a8f3be8740848fa71fb9224
frame_child	406	ee2cb3130b9577813fc2c4acfd3840b51960aaae1d8d12b3095a3ec9251603be
geometry_local_point2	381	5f55d01400a47ab08c07a20a25639bac2af0947970b07cac8bea00b1072b998c
geometry_local_point3	386	b35ae154b9da862d39f77cb95da5aeed2300667e33088a519eed86b8abe52edb
geometry_geographic_point	417	f4a500359731a13ffb67b505649637a70bbcd3ee77663c519b98ccb3ec86a132
geometry_local_box2	425	6fe56a1f0499a56f8e7f72c1d6b9e162b1b9e364a7f7f4c22e9776939638763c
geometry_local_box3	435	ef5137f588258829fd04f25bc63518f1b814ffa50b7b194b0ecfe3dcb9291fb3
geometry_geographic_box	424	01dcf90b23d36ceded3d273e68ed07d91d633662869a089c178a5e8dd55d5fbf
observation_resolved	1280	4d5bc321c5c26fba6162295c21b9c228dc26f2b96cc8ef9d738708df55fcf79f
observation_unresolved_corrected	1336	d2860bb166baed11f644a16b551306f0e2b03b0cb325afdf60ae6100182d2a19
transaction_world_root	525	eb5115952b7e0a906d4c565b09a80da77d23b7951dc90360dcc2f56eb4874bb6
checkpoint_world_root	553	9a92c9bc934eca7d3fdb7ebfb109733c18fd7c645b4203076be67fc49eaa4da8
