case	input_or_fault	expected
commit	valid_canonical_request	durable_revision_and_result_digest
exact_retry	same_scope_principal_key_transaction_and_request	original_outcome_without_new_revision
changed_retry	same_retry_key_different_request_or_transaction	Conflict
transaction_reuse	same_transaction_different_retry_key	Conflict
stale_mutation	precondition_changed	Conflict_without_state_change
cancel_before_publish	cancelled_at_either_prepublication_check	Cancelled_without_revision
lost_response	crash_after_certificate_sync	OutcomeUnknown_then_recovered_original_outcome
uncertain_handle	read_or_write_before_reopen	OutcomeUnknown
reader	pin_then_later_commit	old_revision_and_state_remain_coherent
expiry	now_at_or_after_expiry	IdempotencyExpired_never_new_work
restart	valid_UTXN_history	exact_state_and_outcome_indexes_rebuilt
